reaction_id,flux_mmol_gDW_h
HISD,0.0
URCBm,0.0
NODOy,0.0
NODOx,0.0
NO2R,0.0
NITR_NO,0.0
NITR,0.0
GLYS,0.0
GLUS_nadph,0.0
FORA,0.0
CPS,0.0
AMID,0.0
NNDPR,0.0
ASPO2m,0.0
FOLR2,0.0
NRS,0.0
NPH,0.0
NARP,0.0
NADS1,0.0
NAAH,0.0
N2PH,0.0
DNNH,0.0
DNGALh,0.0
DNGAL,0.0
AN2PT,0.0
NRPH,0.0
ANNATn,0.0
ANNAn,0.0
ANNA,0.0
OGMG,0.0
URCN,0.0
A2GALT1,0.0
A2GALT2,0.0
FGFTm,0.0
FGFTh,0.0
DHFRi,0.0
DHFR2i,0.0
MTAM_nh4,0.0
MDUMT,0.0
FPGFTm,0.0
FPGFTh,0.0
PROAKGOX1,0.0
G6MT2,0.0
G6MT1,0.0
B5ARAT,0.0
B4ARAT,0.0
B2ARAT5,0.0
B2ARAT4,0.0
B2ARAT3,0.0
B2ARAT2,0.0
B2ARAT1,0.0
A4GALT,0.0
A3MT,0.0
A3GALT5,0.0
A3GALT4,0.0
A3GALT3,0.0
A3GALT2,0.0
A3GALT1,0.0
A2GALT6,0.0
A2GALT5,0.0
A2GALT4,0.0
A2GALT3,0.0
TRPS2h,0.0
TYRTL,0.0
AGPOPm,0.0
APAT,0.0
PCPPTh,0.0
PCFPTm,0.0
PCFPTh,0.0
MCDC,0.0
HICH,0.0
PCNOn,0.0
PCNO,0.0
PACPT,0.0
OCDOR,0.0
HPHLm,0.0
HPHL,0.0
HPCOR,0.0
APPTm,0.0
APPTh,0.0
ACCAHm,0.0
PCHLD646OR,0.0
ACCAHh,0.0
PCBOR,0.0
HOXGh,0.0
PHYTOLK,0.0
CPPPGOR,0.0
HCHLDAOR,0.0
UPPDC2,0.0
UPPDC1,0.0
UPP3S,0.0
UPP3MT,0.0
UPP1S,0.0
SHCHF,0.0
PPPGO,0.0
PPBNGS,0.0
PCPPTm,0.0
PPACOAL,0.0
PPACOALh,0.0
PPACOALm,0.0
AGPOP,0.0
ADSSh,0.0
ADRH,0.0
ADPA,0.0
ADNK,0.0
ADNDA,0.0
ADEDA,0.0
ADECn,0.0
ADEC,0.0
ADATT,0.0
AASPm,0.0
